message,topic_id
What qualities are you looking for in a candidate?,5
Are there any trainings on virtual team communication and conflict resolution?,1
What are the options for retirement plans for employees with unique work schedules and remote work arrangements with international work assignments?,0
When will I hear back about the outcome of my job application?,5
Is there a subsidy available for public transportation?,0
I am unable to access the tax forms online. Can you provide assistance?,6
What is the policy on bereavement leave?,7
I need help with filing taxes as a non-profit employee. Can you assist me?,6
What are the options for disability benefits?,0
What is the frequency of performance evaluations?,4
Is there any training available for customer service skills?,1
Are there any tax services available for employees?,6
"What are the options for retirement savings contribution matching, investment strategies, and retirement income planning?",0
I have received an incorrect bonus amount. Can you help me rectify it?,3
How do I report income from investments on my tax return?,6
What is the process for addressing attendance concerns for remote employees in different time zones during daily performance evaluations?,4
Is there a training program available for technical writing skills?,1
What are the options for retirement plans for senior employees?,0
How can I request a shift change temporarily for different time periods on specific days for multiple weeks and multiple times indefinitely multiple times for different shifts starting next month in advance for specific weeks and multiple times for different shifts indefinitely in advance for specific dates and multiple times for different shifts indefinitely for specific weeks and multiple times in advance for specific dates and multiple times indefinitely starting next month in advance for specific weeks and multiple times for different shifts starting next month indefinitely?,7
What is the process for requesting a change to my benefits coverage for domestic partners?,0
How can I apply for a transfer to a different department?,5
"How do I handle team members who consistently exhibit poor time management, organizational, and decision-making skills in virtual client-focused roles with international business partnerships?",4
When will I receive my annual performance review?,4
How do I request a maternity leave?,7
What are the vision benefits offered by the company?,0
How can I request a work schedule change?,2
What is the process for filing taxes as a freelancer with international earnings?,6
I would like to know more about the retirement savings options offered by the company.,0
"I have a question about the company's social media policy, where can I find the details?",2
Is there a performance evaluation process for new hires?,4
Are there any workshops on teamwork and collaboration?,1
Is there a program available for employees to enhance their creative thinking skills?,1
Is there any training available for improving presentation skills?,1
I have not received my holiday pay. Can you assist me?,3
What is the procedure for requesting a holiday leave?,7
Is there a process for requesting time off for a family emergency?,7
I need assistance with the performance review process. Can you guide me?,4
"I have a question regarding the tax implications of child tax credits, deductions, and education expenses.",6
How can I improve my performance in multitasking and prioritization?,4
How do I request a bereavement leave?,7
What is the process for conducting interviews for job candidates?,5
"I need to give feedback to my team member, any advice on delivering constructive criticism?",4
What are the options for retirement plans for employees with international work arrangements?,0
"Are there any trainings on virtual team management, remote team dynamics, team-building exercises, and conflict resolution strategies?",1
How do I request a work-from-home arrangement?,2
Do we have any employee assistance programs as part of the employee benefits?,0
I have not received my holiday pay and travel expense reimbursements. Can you look into it?,3
How do I view my time off request history in the timekeeping system?,7
What are the life insurance options provided by the company?,0
How can I request a shift change temporarily for different time periods on specific days for multiple weeks and multiple times indefinitely multiple times for different shifts starting next month in advance?,7
I have not received my W-2 form. Who should I contact?,3
How can I obtain my W-2 form for tax purposes?,3
What timeframe is considered for a performance evaluation?,4
What is the process for addressing attendance issues?,4
Are there any tax implications for stock options?,6
How can I view my detailed pay information?,3
What is the process for addressing attendance concerns for remote employees in different time zones during quarterly performance evaluations?,4
How are employee performance issues addressed by the team leader?,4
"Can you explain the tax deductions for business expenses, home office use, self-employment tax, retirement contributions, and investment income?",6
I have a question about my pay stub. Who should I reach out to?,3
I have not received my bonus payments. Can you look into it?,3
How can I address performance concerns with my team?,4
How do international employees file taxes?,6
My question is not related to any specific topic. Can you still assist me?,2
Can I get assistance with tax planning for foreign income?,6
Are there any trainings on conflict resolution for remote teams?,1
What is the process for filing taxes as a remote user?,6
Is there an internal mobility program for employees?,5
What is the process for handling employee conflicts?,4
Are there any technical certification programs available for employees?,1
Is there a program available for employees to enhance their leadership skills?,1
Is there a program for career development and skill enhancement?,1
Can I apply for a training program to develop my leadership skills?,1
Is there a program for customer service skills training and development?,1
Can you provide information on tax deductions for rental properties?,6
What are the dental benefits provided by the company?,0
How can I enroll in a leadership training program?,1
Do you offer assistance with international tax compliance?,6
What is the deadline for submitting timesheets?,7
Is there a program for professional certification reimbursement?,1
Can I participate in a conference related to my field?,1
How will my performance be evaluated?,4
Is there a training program available for improving customer service skills?,1
What documents do I need for tax filing as a freelancer?,6
Are there any soft skills training programs available for employees?,1
Can I request changes in my work hours for a future date in the time and attendance system?,7
I need assistance with my W-2 form. Who should I reach out to?,6
Are there any insurance benefits provided by the company?,0
Is there a training program for improving presentation skills?,1
I was not paid for the overtime hours worked last week. Who should I contact?,3
What is the process for requesting a work-from-home arrangement due to medical reasons?,2
How can I request a shift change temporarily for different time periods on specific days for multiple weeks and multiple times indefinitely multiple times for different shifts starting next month in advance for specific weeks?,7
"Are there any trainings on virtual team management, remote team dynamics, team-building exercises, conflict resolution strategies, change management processes, remote employee engagement, employee well-being, leadership development, strategic workforce planning, employee retention, talent management, legal compliance, personal development, professional growth, performance improvement, employee satisfaction, and work-life balance?",1
What is the deadline for submitting expense reports?,3
