batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,epoch,iter,iter_time,learning_rate,lengths,loss,samples,step,time,tokens,total_tokens
1,,,,,,,,256,,1,1,0.40282537599999557,,
,,,,0,1,0.40275532299999384,0.0,,2.0980308055877686,,1,,256,256
2,,,,,,,,512,,2,2,0.6137270429999973,,
,,,,0,2,0.20568934499999614,0.0,,2.118058681488037,,2,,512,512
3,,,,,,,,764,,3,3,0.8235829710000075,,
,,,,0,3,0.20925229200000217,0.0,,2.121493339538574,,3,,764,764
4,,,,,,,,1018,,4,4,1.0329277630000036,,
,,,,0,4,0.20866888199999778,0.0,,2.12658953666687,,4,,1018,1018
5,,,,,,,,1268,,5,5,1.2383272290000065,,
,,,,0,5,0.2046920660000069,0.0,,2.1328487396240234,,5,,1268,1268
6,,,,,,,,1519,,6,6,1.456013107000004,,
,,,,0,6,0.21696178700000246,0.0,,2.1367759704589844,,6,,1519,1519
7,,,,,,,,1771,,7,7,1.6605097150000034,,
,,,,0,7,0.20374872499999697,0.0,,2.1276912689208984,,7,,1771,1771
8,,,,,,,,2025,,8,8,1.8680434730000002,,
,,,,0,8,0.20689246099999536,0.0,,2.124890089035034,,8,,2025,2025
9,,,,,,,,2277,,9,9,2.0733379859999985,,
,,,,0,9,0.20465939499999308,0.0,,2.136979103088379,,9,,2277,2277
10,,,,,,,,2532,,10,10,2.2846035230000012,,
,,,,0,10,0.21062274000000514,0.0,,2.132969379425049,,10,,2532,2532
11,,,,,,,,2783,,11,11,2.4931741860000045,,
,,,,0,11,0.20788381399999878,0.0,,2.13321852684021,,11,,2783,2783
12,,,,,,,,3037,,12,12,2.7005613890000006,,
,,,,0,12,0.20646252400000265,0.0,,2.1299374103546143,,12,,3037,3037
13,,,,,,,,3286,,13,13,2.9096452130000046,,
,,,,0,13,0.2083869850000042,0.0,,2.12849760055542,,13,,3286,3286
14,,,,,,,,3535,,14,14,3.1164498800000047,,
,,,,0,14,0.2061378190000056,0.0,,2.129706859588623,,14,,3535,3535
15,,,,,,,,3805,,15,15,3.3483621580000005,,
,,,,0,15,0.2312649109999967,0.0,,2.1303551197052,,15,,3805,3805
16,,,,,,,,4059,,16,16,3.6209796570000066,,
,,,,0,16,0.2718028259999983,1e-05,,2.1262199878692627,,16,,4059,4059
17,,,,,,,,4311,,17,17,3.8291463099999987,,
,,,,0,17,0.2045625049999984,1e-05,,2.1259605884552,,17,,4311,4311
18,,,,,,,,4564,,18,18,4.038349504999999,,
,,,,0,18,0.20852609700000357,1e-05,,2.126203775405884,,18,,4564,4564
19,,,,,,,,4815,,19,19,4.245859207000009,,
,,,,0,19,0.20681594400001302,1e-05,,2.1278152465820312,,19,,4815,4815
20,,,,,,,,5068,,20,20,4.453809196000009,,
,,,,0,20,0.2071782880000086,1e-05,,2.1274280548095703,,20,,5068,5068
21,,,,,,,,5319,,21,21,4.663483154000005,,
,,,,0,21,0.20900147100000765,1e-05,,2.1257450580596924,,21,,5319,5319
22,,,,,,,,5571,,22,22,4.871243066000005,,
,,,,0,22,0.20685305599999992,1e-05,,2.1271891593933105,,22,,5571,5571
23,,,,,,,,5825,,23,23,5.078295410999999,,
,,,,0,23,0.2063037449999996,1e-05,,2.130272150039673,,23,,5825,5825
24,,,,,,,,6115,,24,24,5.309259838000003,,
,,,,0,24,0.2301184140000032,1e-05,,2.1481823921203613,,24,,6115,6115
25,,,,,,,,6366,,25,25,5.516907477000004,,
,,,,0,25,0.20688941000000227,1e-05,,2.139606237411499,,25,,6366,6366
26,,,,,,,,6616,,26,26,5.724735174000003,,
,,,,0,26,0.2070045250000021,1e-05,,2.140047788619995,,26,,6616,6616
27,,,,,,,,6881,,27,27,5.951422797999996,,
,,,,0,27,0.22581242999999063,1e-05,,2.146552324295044,,27,,6881,6881
28,,,,,,,,7132,,28,28,6.158876989999996,,
,,,,0,28,0.20658135899999763,1e-05,,2.149358034133911,,28,,7132,7132
