batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,epoch,iter,iter_time,learning_rate,lengths,loss,samples,step,time,tokens,total_tokens,val_loss,val_ppl
1,,,,,,,,256,,1,1,0.3530227219999915,,,,
,,,,0,1,0.3529473689999918,0.0,,2.0905356407165527,,1,,256,256,,
2,,,,,,,,512,,2,2,0.4842987719999883,,,,
,,,,0,2,0.12679289299998686,0.0,,2.1107919216156006,,2,,512,512,,
3,,,,,,,,764,,3,3,0.6147067259999801,,,,
,,,,0,3,0.12971339399999238,0.0,,2.1142072677612305,,3,,764,764,,
4,,,,,,,,1018,,4,4,0.7432439389999956,,,,
,,,,0,4,0.12777136100001485,0.0,,2.1193737983703613,,4,,1018,1018,,
5,,,,,,,,1268,,5,5,0.8688570679999827,,,,
,,,,0,5,0.12490835899998842,0.0,,2.1260154247283936,,5,,1268,1268,,
6,,,,,,,,1519,,6,6,1.0046299789999864,,,,
,,,,0,6,0.13507942100000037,0.0,,2.130199670791626,,6,,1519,1519,,
7,,,,,,,,1771,,7,7,1.132821027999995,,,,
,,,,0,7,0.12746924900000067,0.0,,2.1208343505859375,,7,,1771,1771,,
8,,,,,,,,2025,,8,8,1.2693421099999966,,,,
,,,,0,8,0.13578205100000673,0.0,,2.118147134780884,,8,,2025,2025,,
9,,,,,,,,2277,,9,9,1.4007500359999767,,,,
,,,,0,9,0.1306616039999824,0.0,,2.1303205490112305,,9,,2277,2277,,
10,,,,,,,,2532,,10,10,1.5352167349999775,,,,
,,,,0,10,0.13341188399999737,0.0,,2.1262829303741455,,10,,2532,2532,,
11,,,,,,,,2783,,11,11,1.6640503569999794,,,,
,,,,0,11,0.12810175999999274,0.0,,2.1264665126800537,,11,,2783,2783,,
12,,,,,,,,3037,,12,12,1.7919297579999807,,,,
,,,,0,12,0.12718968100000438,0.0,,2.123096227645874,,12,,3037,3037,,
13,,,,,,,,3286,,13,13,1.9219373999999902,,,,
,,,,0,13,0.12931562200000712,0.0,,2.1215946674346924,,13,,3286,3286,,
14,,,,,,,,3535,,14,14,2.053168545999995,,,,
,,,,0,14,0.13052859500001546,0.0,,2.122901201248169,,14,,3535,3535,,
15,,,,,,,,3805,,15,15,2.1957642919999785,,,,
,,,,0,15,0.14192120699999577,0.0,,2.124321937561035,,15,,3805,3805,,
16,,,,,,,,4059,,16,16,2.3990445579999857,,,,
,,,,0,16,0.2024526099999946,1e-05,,2.1201066970825195,,16,,4059,4059,,
17,,,,,,,,4311,,17,17,2.528398949999996,,,,
,,,,0,17,0.12858820799999648,1e-05,,2.119856595993042,,17,,4311,4311,,
18,,,,,,,,4564,,18,18,2.6629331449999825,,,,
,,,,0,18,0.13317021500000692,1e-05,,2.1200947761535645,,18,,4564,4564,,
19,,,,,,,,4815,,19,19,2.7927971759999934,,,,
,,,,0,19,0.12911901800001147,1e-05,,2.1217763423919678,,19,,4815,4815,,
20,,,,,,,,5068,,20,20,2.9235259439999766,,,,
,,,,0,20,0.12991243199999758,1e-05,,2.1213133335113525,,20,,5068,5068,,
21,,,,,,,,5319,,21,21,3.0556001709999805,,,,
,,,,0,21,0.13129324299998757,1e-05,,2.119584560394287,,21,,5319,5319,,
22,,,,,,,,5571,,22,22,3.1839929669999947,,,,
,,,,0,22,0.1275950810000097,1e-05,,2.120896577835083,,22,,5571,5571,,
23,,,,,,,,5825,,23,23,3.315497209,,,,
